POST Name,POST Type,Server Timestamp,Client Timestamp,Stop Number,DescriptorN/A,LIC Trigger POST,1739904363.065277,1739904362,5,N/A
LIC Robot V1.0,Robot POST,1739904405.8317215,1739904404,0,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904412.581138,1739904413,0,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904428.0325434,1739904428,0,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904465.6507316,1739904434,0,depart,,,,,
LIC Robot V1.0,Robot POST,1739904468.817468,1739904469,1,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904474.8673282,1739904475,1,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904490.3544185,1739904490,1,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904496.4005187,1739904497,1,depart,,,,,
LIC Robot V1.0,Robot POST,1739904499.7478793,1739904500,2,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904506.0677676,1739904506,2,start_arm,,,,,
N/A,LIC Trigger POST,1739904517.2787905,1739904516,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904521.404782,1739904522,2,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904527.4534476,1739904528,2,depart,,,,,
LIC Robot V1.0,Robot POST,1739904530.3755105,1739904531,3,arrive,,,,,
N/A,LIC Trigger POST,1739904530.8626862,1739904529,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904536.4317293,1739904537,3,start_arm,,,,,
N/A,LIC Trigger POST,1739904538.5042784,1739904537,5,N/A,,,,,
N/A,LIC Trigger POST,1739904545.5339613,1739904544,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904551.8460572,1739904552,3,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904558.1242757,1739904558,3,depart,,,,,
N/A,LIC Trigger POST,1739904559.9981472,1739904558,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904562,1739904562,4,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904567.5651455,1739904568,4,start_arm,,,,,
N/A,LIC Trigger POST,1739904569.474143,1739904568,5,N/A,,,,,
N/A,LIC Trigger POST,1739904579.3283272,1739904578,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904583.0330062,1739904583,4,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904589.0756881,1739904589,4,depart,,,,,
N/A,LIC Trigger POST,1739904591.3099635,1739904590,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904592.1088266,1739904592,5,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904598.3427956,1739904598,5,start_arm,,,,,
N/A,LIC Trigger POST,1739904607.621345,1739904606,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904613.6632714,1739904614,5,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904619.7423272,1739904620,5,depart,,,,,
N/A,LIC Trigger POST,1739904621.387087,1739904620,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904622.7563126,1739904623,6,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904628.7945118,1739904629,6,start_arm,,,,,
N/A,LIC Trigger POST,1739904630.0581295,1739904628,5,N/A,,,,,
N/A,LIC Trigger POST,1739904635.663895,1739904634,5,N/A,,,,,
N/A,LIC Trigger POST,1739904641.1577067,1739904639,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904644.1301928,1739904644,6,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904650.192652,1739904650,6,depart,,,,,
N/A,LIC Trigger POST,1739904651.9402826,1739904650,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904653.7917569,1739904654,7,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904660.0893147,1739904660,7,start_arm,,,,,
N/A,LIC Trigger POST,1739904661.4721472,1739904660,5,N/A,,,,,
N/A,LIC Trigger POST,1739904668.8197677,1739904667,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904675.408065,1739904676,7,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904681.4686716,1739904682,7,depart,,,,,
N/A,LIC Trigger POST,1739904683.2617302,1739904682,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904686.7787774,1739904685,8,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904692.8315268,1739904693,8,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904708.303613,1739904708,8,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904714,1739904714,8,depart,,,,,
LIC Robot V1.0,Robot POST,1739904717.5176632,1739904718,9,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904723.5537722,1739904724,9,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904738.9066548,1739904739,9,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904744.9810812,1739904745,9,depart,,,,,
LIC Robot V1.0,Robot POST,1739904748.0133393,1739904748,10,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904754.0610025,1739904754,10,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904769.3776338,1739904770,10,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904775.4383008,1739904776,10,depart,,,,,
LIC Robot V1.0,Robot POST,1739904778.3150387,1739904778,R,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904793.3361278,1739904793,R,depart,,,,,
LIC Robot V1.0,Robot POST,1739904799.0718195,1739904799,R,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904814.1775854,1739904814,R,depart,,,,,
LIC Robot V1.0,Robot POST,1739904817.1669934,1739904817,11,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904823.2321138,1739904823,11,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904838.7985945,1739904839,11,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904844.8648114,1739904845,11,depart,,,,,
LIC Robot V1.0,Robot POST,1739904847.6710744,1739904848,12,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904853.7555459,1739904854,12,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904869.1310403,1739904869,12,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904875.1780462,1739904875,12,depart,,,,,
LIC Robot V1.0,Robot POST,1739904878.1557915,1739904878,13,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904884.3911026,1739904884,13,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739904899.814445,1739904900,13,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904905.875701,1739904906,13,depart,,,,,
LIC Robot V1.0,Robot POST,1739904908.7117028,1739904909,14,arrive,,,,,
N/A,LIC Trigger POST,1739904909.6552675,1739904908,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904914.7698126,1739904915,14,start_arm,,,,,
N/A,LIC Trigger POST,1739904915.8219333,1739904914,5,N/A,,,,,
N/A,LIC Trigger POST,1739904923.7884343,1739904922,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904930.1694543,1739904930,14,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904936.2124104,1739904936,14,depart,,,,,
N/A,LIC Trigger POST,1739904937.6020758,1739904935,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904939.1705472,1739904939,15,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904945.2283592,1739904945,15,start_arm,,,,,
N/A,LIC Trigger POST,1739904946.8289812,1739904945,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904960.6144536,1739904961,15,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904966.7357597,1739904967,15,depart,,,,,
N/A,LIC Trigger POST,1739904969.256092,1739904967,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904969.4898496,1739904970,16,arrive,,,,,
LIC Robot V1.0,Robot POST,1739904975.5419054,1739904976,16,start_arm,,,,,
N/A,LIC Trigger POST,1739904976,1739904974,5,N/A,,,,,
N/A,LIC Trigger POST,1739904987.190269,1739904985,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739904990.869074,1739904991,16,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739904997.3751478,1739904997,16,depart,,,,,
LIC Robot V1.0,Robot POST,1739905000.2219098,1739905000,17,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905006.268332,1739905006,17,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905021.6265037,1739905022,17,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905027.724991,1739905028,17,depart,,,,,
LIC Robot V1.0,Robot POST,1739905030.9108472,1739905031,18,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905036.9583108,1739905037,18,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905052.3037336,1739905052,18,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905058.5252333,1739905059,18,depart,,,,,
LIC Robot V1.0,Robot POST,1739905061.395643,1739905062,19,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905067.4443786,1739905068,19,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905114.9700084,1739905083,19,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905121.206476,1739905121,19,depart,,,,,
LIC Robot V1.0,Robot POST,1739905123.9959395,1739905124,20,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905130.3357098,1739905130,20,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905145.9228547,1739905146,20,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905151.975172,1739905152,20,depart,,,,,
LIC Robot V1.0,Robot POST,1739905154.5321226,1739905155,L,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905169.7136602,1739905170,L,depart,,,,,
LIC Robot V1.0,Robot POST,1739905175.201231,1739905175,L,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905190.320069,1739905190,L,depart,,,,,
LIC Robot V1.0,Robot POST,1739905193.4075172,1739905193,21,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905199.9636526,1739905200,21,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905215.3024194,1739905215,21,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905221.610515,1739905221,21,depart,,,,,
LIC Robot V1.0,Robot POST,1739905224.5695634,1739905225,22,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905230.6108627,1739905231,22,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905246.134311,1739905246,22,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905252.5117755,1739905252,22,depart,,,,,
LIC Robot V1.0,Robot POST,1739905255.387785,1739905255,23,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905261.454143,1739905262,23,start_arm,,,,,
N/A,LIC Trigger POST,1739905272.8677619,1739905270,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905276.8663285,1739905277,23,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905282.9292448,1739905283,23,depart,,,,,
N/A,LIC Trigger POST,1739905285.4727192,1739905283,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905286.1120143,1739905286,24,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905292.4672318,1739905293,24,start_arm,,,,,
N/A,LIC Trigger POST,1739905294.0892134,1739905291,5,N/A,,,,,
N/A,LIC Trigger POST,1739905301.769443,1739905299,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905307.7702053,1739905308,24,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905313.8495677,1739905314,24,depart,,,,,
N/A,LIC Trigger POST,1739905315.586508,1739905313,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905317.1135483,1739905317,25,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905323.1775923,1739905323,25,start_arm,,,,,
N/A,LIC Trigger POST,1739905324.4860516,1739905322,5,N/A,,,,,
N/A,LIC Trigger POST,1739905331.8623862,1739905329,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905339,1739905339,25,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905345.0637352,1739905345,25,depart,,,,,
N/A,LIC Trigger POST,1739905346.9009736,1739905344,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905348.5483427,1739905348,26,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905354.7720616,1739905355,26,start_arm,,,,,
N/A,LIC Trigger POST,1739905363.8014317,1739905361,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905370.104846,1739905370,26,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905376.1682935,1739905376,26,depart,,,,,
N/A,LIC Trigger POST,1739905379.2173347,1739905375,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905379.7451365,1739905379,27,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905385.7933404,1739905386,27,start_arm,,,,,
N/A,LIC Trigger POST,1739905387.2579558,1739905385,5,N/A,,,,,
N/A,LIC Trigger POST,1739905395.2465212,1739905393,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905401.1525247,1739905401,27,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905407.1944227,1739905407,27,depart,,,,,
N/A,LIC Trigger POST,1739905409.0569103,1739905406,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905409.917487,1739905410,28,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905415.9731658,1739905416,28,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905431.4452214,1739905432,28,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905437.4990885,1739905438,28,depart,,,,,
LIC Robot V1.0,Robot POST,1739905440.425824,1739905441,29,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905446.4612854,1739905447,29,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905462.131686,1739905462,29,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905468.785998,1739905469,29,depart,,,,,
LIC Robot V1.0,Robot POST,1739905472.3715072,1739905472,30,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905478.7096953,1739905479,30,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905494.0787706,1739905494,30,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905500.1335502,1739905500,30,depart,,,,,
LIC Robot V1.0,Robot POST,1739905502.903782,1739905503,R,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905517.8888218,1739905518,R,depart,,,,,
LIC Robot V1.0,Robot POST,1739905523.5031939,1739905523,R,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905538.5749485,1739905539,R,depart,,,,,
LIC Robot V1.0,Robot POST,1739905541.830389,1739905542,31,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905547.8836389,1739905548,31,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905563.222743,1739905563,31,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905569.2758296,1739905569,31,depart,,,,,
LIC Robot V1.0,Robot POST,1739905572.1234257,1739905572,32,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905578.1715534,1739905578,32,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905593.5067027,1739905594,32,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905599.5942106,1739905600,32,depart,,,,,
LIC Robot V1.0,Robot POST,1739905602.4371397,1739905603,33,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905608.4843771,1739905609,33,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905624.048655,1739905624,33,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905630.2065115,1739905630,33,depart,,,,,
LIC Robot V1.0,Robot POST,1739905633.061116,1739905633,34,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905639.2683308,1739905639,34,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905654.888986,1739905655,34,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905661.0276735,1739905661,34,depart,,,,,
LIC Robot V1.0,Robot POST,1739905663.9586148,1739905664,35,arrive,,,,,
N/A,LIC Trigger POST,1739905664.1522646,1739905661,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905669.9864454,1739905670,35,start_arm,,,,,
N/A,LIC Trigger POST,1739905678.9635372,1739905676,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905685.314103,1739905685,35,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905691,1739905691,35,depart,,,,,
N/A,LIC Trigger POST,1739905693.6910539,1739905691,5,N/A,,,,,
LIC Robot V1.0,Robot POST,1739905694.4397511,1739905695,36,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905700.4942622,1739905701,36,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905716.0158246,1739905716,36,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905722.061557,1739905722,36,depart,,,,,
LIC Robot V1.0,Robot POST,1739905724.923063,1739905725,37,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905730.9661448,1739905731,37,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905746.7219758,1739905747,37,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905752.7736268,1739905753,37,depart,,,,,
LIC Robot V1.0,Robot POST,1739905755.8129725,1739905756,38,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905762.7784579,1739905762,38,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905778.9035552,1739905779,38,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905784.9582393,1739905785,38,depart,,,,,
LIC Robot V1.0,Robot POST,1739905787.8926578,1739905788,39,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905793.9614124,1739905794,39,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905809.3209527,1739905809,39,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905815.6135867,1739905815,39,depart,,,,,
LIC Robot V1.0,Robot POST,1739905818.523243,1739905819,40,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905824.6265361,1739905825,40,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905839.9943767,1739905840,40,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905846.040246,1739905846,40,depart,,,,,
LIC Robot V1.0,Robot POST,1739905848.7581508,1739905849,L,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905864.0426426,1739905864,L,depart,,,,,
LIC Robot V1.0,Robot POST,1739905868.9101043,1739905869,L,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905883.8781533,1739905884,L,depart,,,,,
LIC Robot V1.0,Robot POST,1739905887,1739905887,41,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905893.0258386,1739905893,41,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905908.5504322,1739905909,41,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905915.7365127,1739905915,41,depart,,,,,
LIC Robot V1.0,Robot POST,1739905921.0887368,1739905921,42,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905927.8318992,1739905928,42,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905943.5025156,1739905944,42,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905949.7454665,1739905950,42,depart,,,,,
LIC Robot V1.0,Robot POST,1739905952.7422125,1739905953,43,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905958.7872443,1739905959,43,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739905974.151773,1739905974,43,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739905980.5772316,1739905981,43,depart,,,,,
LIC Robot V1.0,Robot POST,1739905984.2731638,1739905984,44,arrive,,,,,
LIC Robot V1.0,Robot POST,1739905990.9977672,1739905991,44,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906006.6390219,1739906006,44,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906012.6898992,1739906013,44,depart,,,,,
LIC Robot V1.0,Robot POST,1739906015.514196,1739906016,45,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906021.742218,1739906022,45,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906037.0759678,1739906037,45,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906043.6809072,1739906043,45,depart,,,,,
LIC Robot V1.0,Robot POST,1739906046.9345467,1739906047,46,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906053.254382,1739906053,46,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906068.5837996,1739906069,46,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906076.8338408,1739906076,46,depart,,,,,
LIC Robot V1.0,Robot POST,1739906080.7709882,1739906081,47,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906087.0890293,1739906087,47,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906102.5833967,1739906103,47,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906108.9454505,1739906109,47,depart,,,,,
LIC Robot V1.0,Robot POST,1739906111.8617337,1739906112,48,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906118.223799,1739906118,48,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906133.5616524,1739906134,48,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906139.7352564,1739906140,48,depart,,,,,
LIC Robot V1.0,Robot POST,1739906142.6334884,1739906143,49,arrive,,,,,
LIC Robot V1.0,Robot POST,1739906149.9524395,1739906149,49,start_arm,,,,,
LIC Robot V1.0,Robot POST,1739906165.2927196,1739906165,49,end_arm,,,,,
LIC Robot V1.0,Robot POST,1739906171.6653347,1739906172,49,depart,,,,,
LIC Robot V1.0,Robot POST,1739906175.145599,1739906175,S,arrive,,,,,
